Algèbre PROPN Algèbre
linéaire ADJ linéaire
Alain PROPN Alain
Chillès PROPN Chillès
( PUNCT (
) PUNCT )
, PUNCT ,
, PUNCT ,
, PUNCT ,
Valentin PROPN Valentin
Vinoles PROPN Vinoles
, PUNCT ,
Adrien PROPN Adrien
Joseph PROPN Joseph
Remerciements PROPN Remerciements
Nous PRON nous
tenons VERB tenir
à ADP à
remercier VERB remercier
chaudement ADV chaudement
tous ADJ tout
les DET le
professeurs NOUN professeur
qui PRON qui
nous PRON nous
ont AUX avoir
aidés VERB aider
à ADP à
écrire VERB écrire
ce DET ce
livre NOUN livre
, PUNCT ,
notamment ADV notamment
en ADP en
corrigeant VERB corriger
les DET le
inévitables ADJ inévitable
fautes NOUN faute
. PUNCT .
Par ADP par
ordre NOUN ordre
chronologique ADJ chronologique
d' ADP de
intervention NOUN intervention
: PUNCT :
, PUNCT ,
, PUNCT ,
Marguerite NOUN marguerite
Rossillon PROPN Rossillon
, PUNCT ,
Vésale PROPN Vésale
Nicolas PROPN Nicolas
, PUNCT ,
Bastien PROPN Bastien
Marmet PROPN Marmet
, PUNCT ,
Geoffrey PROPN Geoffrey
Boutard PROPN Boutard
et CCONJ et
Rémi PROPN Rémi
Weidenfeld PROPN Weidenfeld
. PUNCT .
Préambule NOUN préambule
à ADP à
la DET le
première ADJ premier
version NOUN version
Je PRON je
tiens VERB tenir
avant ADP avant
toutes DET tout
choses NOUN chose
à ADP à
remercier VERB remercier
ici ADV ici
le DET le
professeur NOUN professeur
pour ADP pour
son DET son
aide NOUN aide
précieuse ADJ précieux
lors ADV lors
de ADP de
la DET le
relecture NOUN relecture
de ADP de
ce DET ce
polycopié NOUN polycopié
. PUNCT .
Je PRON je
tiens VERB tenir
aussi ADV aussi
à ADP à
remercier VERB remercier
mon DET mon
ami NOUN ami
Franz PROPN Franz
Ridde PROPN Ridde
, PUNCT ,
professeur NOUN professeur
en ADP en
MPSI NOUN mpsi
au ADP au
lycée NOUN lycée
du ADP de
Parc NOUN parc
de ADP de
Lyon PROPN Lyon
, PUNCT ,
qui PRON qui
m' PRON me
a AUX avoir
fourni VERB fournir
un DET un
grand ADJ grand
nombre NOUN nombre
d' ADP de
exercices NOUN exercice
. PUNCT .
Ce DET ce
livre NOUN livre
ne ADV ne
est AUX être
pas ADV pas
le DET le
cours NOUN cours
. PUNCT .
Il PRON il
servira VERB servir
de ADP de
support NOUN support
au ADP au
cours NOUN cours
, PUNCT ,
de ADP de
guide NOUN guide
et CCONJ et
permettra VERB permettre
, PUNCT ,
à ADP à
ceux PRON celui
qui PRON qui
le PRON le
souhaitent VERB souhaiter
, PUNCT ,
d' ADP de
approfondir VERB approfondir
quelques DET quelque
sujets NOUN sujet
. PUNCT .
Il PRON il
ne ADV ne
s' PRON se
agit VERB agir
en ADP en
aucun DET aucun
cas NOUN cas
d' ADP de
apprendre VERB apprendre
par ADP par
cur NOUN cur
son DET son
contenu NOUN contenu
. PUNCT .
D' ADP de
ailleurs ADV ailleurs
, PUNCT ,
l' DET le
apprentissage NOUN apprentissage
par ADP par
cur NOUN cur
est VERB être
, PUNCT ,
en ADP en
général NOUN général
, PUNCT ,
une DET un
mauvaise ADJ mauvais
technique NOUN technique
d' ADP de
apprentissage NOUN apprentissage
pour ADP pour
les DET le
mathématiques NOUN mathématique
, PUNCT ,
qui PRON qui
proposent VERB proposer
peu ADV peu
de ADP de
résultats NOUN résultat
, PUNCT ,
peu ADV peu
de ADP de
notions NOUN notion
, PUNCT ,
mais CCONJ mais
demandent VERB demander
une DET un
compréhension NOUN compréhension
profonde ADJ profond
de ADP de
ces DET ce
notions NOUN notion
. PUNCT .
Le DET le
cours NOUN cours
est AUX être
découpé VERB découper
en ADP en
quatre NUM quatre
parties NOUN party
: PUNCT :
espaces NOUN espace
vectoriels NOUN vectoriel
sur ADP sur
R NOUN r
ou CCONJ ou
C NOUN c
matrices NOUN matrice
et CCONJ et
systèmes NOUN système
linéaires ADJ linéaire
déterminant VERB déterminer
réduction NOUN réduction
des ADP de
endomorphismes NOUN endomorphisme
. PUNCT .
Les DET le
calculs NOUN calcul
et CCONJ et
les DET le
dessins NOUN dessin
ont AUX avoir
été AUX être
, PUNCT ,
pour ADP pour
la DET le
plupart NOUN plupart
, PUNCT ,
effectués VERB effectuer
grâce NOUN grâce
aux DET aux
logiciels NOUN logiciel
Wxmaxima ADJ wxmaxima
et CCONJ et
Python NOUN python
, PUNCT ,
sympy NOUN sympy
, PUNCT ,
matplotlib ADJ matplotlib
, PUNCT ,
outils NOUN outil
d' ADP de
une DET un
très ADV très
grande ADJ grand
qualité NOUN qualité
, PUNCT ,
gratuits NOUN gratuit
et CCONJ et
fonctionnant VERB fonctionner
sur ADP sur
tout DET tout
système NOUN système
( PUNCT (
Linux NOUN linux
, PUNCT ,
Windows PROPN Windows
, PUNCT ,
Mac PROPN Mac
, PUNCT ,
Androïd PROPN Androïd
) PUNCT )
. PUNCT .
Signalons VERB signaler
aussi ADV aussi
l' DET le
outil NOUN outil
de ADP de
géométrie NOUN géométrie
plane ADJ plan
Geogebra PROPN Geogebra
et CCONJ et
l' DET le
excellent ADJ excellent
Ipe PROPN Ipe
qui PRON qui
permet VERB permettre
d' ADP de
annoter VERB annoter
en ADP en
LATEX NOUN latex
2 DET 2
les DET le
dessins NOUN dessin
produits VERB produire
directement ADV directement
ou CCONJ ou
à ADP à
l' DET le
aide NOUN aide
d' ADP de
un DET un
autre ADJ autre
outil NOUN outil
. PUNCT .
Alain PROPN Alain
Chillès PROPN Chillès
Préambule PROPN Préambule
à ADP à
la DET le
seconde ADJ second
version NOUN version
Wxmaxima ADJ wxmaxima
Python PRON python
, PUNCT ,
sympy NOUN sympy
, PUNCT ,
matplotlib ADJ matplotlib
Alain PROPN Alain
Chillès PROPN Chillès
Table NOUN table
des ADP de
matières NOUN matière
1 NUM 1
Espaces NOUN espace
vectoriels NOUN vectoriel
sur ADP sur
R PROPN R
ou CCONJ ou
C NOUN c
2 NUM 2
Matrices NOUN matrice
et CCONJ et
systèmes NOUN système
linéaires ADJ linéaire
3 NUM 3
Déterminant NOUN déterminant
4 NUM 4
Réduction NOUN réduction
des ADP de
endomorphismes NOUN endomorphisme
5 NUM 5
Compléments NOUN complément
sur ADP sur
la DET le
réduction NOUN réduction
des ADP de
endomorphismes NOUN endomorphisme
Liste NOUN liste
des ADP de
codes NOUN code
Wxmaxima ADJ wxmaxima
2.11 NOUN 2.11
Décomposition NOUN décomposition
d' ADP de
une DET un
permutation NOUN permutation
en ADP en
produit NOUN produit
de ADP de
transpositions NOUN transposition
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
Liste NOUN liste
des ADP de
codes NOUN code
Python NOUN python
2.11 NUM 2.11
Décomposition NOUN décomposition
d' ADP de
une DET un
permutation NOUN permutation
en ADP en
produit NOUN produit
de ADP de
transpositions NOUN transposition
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
. PUNCT .
Liste NOUN liste
des ADP de
figures NOUN figure
Ensembles NOUN ensemble
usuels ADJ usuel
Notations NOUN notation
usuelles ADJ usuel
Opérations NOUN opération
sur ADP sur
les DET le
ensembles NOUN ensemble
Signification NOUN signification
Ensemble NOUN ensemble
des ADP de
entiers NOUN entier
naturels ADJ naturel
Ensemble NOUN ensemble
des ADP de
entiers NOUN entier
relatifs ADJ relatif
Ensemble NOUN ensemble
des ADP de
entiers NOUN entier
naturels ADJ naturel
ou CCONJ ou
relatifs ADJ relatif
non ADV non
nuls ADJ nul
Ensemble NOUN ensemble
des ADP de
entiers NOUN entier
relatifs ADJ relatif
compris ADJ compris
entre ADP entre
p NOUN p
et CCONJ et
q X q
Ensemble NOUN ensemble
des ADP de
rationnels NOUN rationnel
Ensemble NOUN ensemble
